Units Absorbed by Dwelling Type and Census Subdivision for Centres 50,000+								
Logements écoulés selon le type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus								
2009								
								
Province	Centre	"Census Subdivision
Subdivision de recensement"	"Singles
Individuels"	"Semis
Jumelés"	"Row
En bande"	"Apartment
and Other
Appartements
et autres"	Total	
Nfld.Lab./T.-N.-L.	St. John's	Conception Bay South (T)	226	--	--	10	236	
Nfld.Lab./T.-N.-L.	St. John's	Portugal Cove-St. Philip's (T)	65	--	--	--	65	
Nfld.Lab./T.-N.-L.	St. John's	Pouch Cove (T)	16	--	--	--	16	
Nfld.Lab./T.-N.-L.	St. John's	Flatrock (T)	17	--	--	--	17	
Nfld.Lab./T.-N.-L.	St. John's	Torbay (T)	102	--	--	14	116	
Nfld.Lab./T.-N.-L.	St. John's	Logy Bay-Middle Cove-Outer Cove (T)	20	--	--	--	20	
Nfld.Lab./T.-N.-L.	St. John's	Bauline (T)	2	--	--	--	2	
Nfld.Lab./T.-N.-L.	St. John's	Paradise (T)	326	10	--	68	404	
Nfld.Lab./T.-N.-L.	St. John's	St. John's (CY)	428	69	52	110	659	
Nfld.Lab./T.-N.-L.	St. John's	Mount Pearl (CY)	63	--	--	--	63	
Nfld.Lab./T.-N.-L.	St. John's	Petty Harbour-Maddox Cove (T)	2	--	--	--	2	
Nfld.Lab./T.-N.-L.	St. John's	Bay Bulls (T)	20	--	--	--	20	
Nfld.Lab./T.-N.-L.	St. John's	Witless Bay (T)	10	--	--	--	10	
Nfld.Lab./T.-N.-L.	St. John's	Total	1,297	79	52	202	1,630	
Nfld.Lab./T.-N.-L.	Total	Total	1,297	79	52	202	1,630	
P.E.I./Î.-P.-É.	Charlottetown	Lot 48 (LOT)	15	--	--	--	15	
P.E.I./Î.-P.-É.	Charlottetown	Lot 31 (LOT)	15	--	--	--	15	
P.E.I./Î.-P.-É.	Charlottetown	Lot 65 (LOT)	13	--	--	--	13	
P.E.I./Î.-P.-É.	Charlottetown	Meadowbank (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Clyde River (COM)	3	--	--	--	3	
P.E.I./Î.-P.-É.	Charlottetown	Miltonvale Park (COM)	2	2	--	--	4	
P.E.I./Î.-P.-É.	Charlottetown	Brackley (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Lot 33 (LOT)	3	--	--	--	3	
P.E.I./Î.-P.-É.	Charlottetown	Union Road (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Lot 34 (LOT)	14	--	--	--	14	
P.E.I./Î.-P.-É.	Charlottetown	Lot 35 (LOT)	4	--	--	--	4	
P.E.I./Î.-P.-É.	Charlottetown	Lot 36 (LOT)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Winsloe South (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Warren Grove (COM)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Charlottetown (CY)	76	22	6	27	131	
P.E.I./Î.-P.-É.	Charlottetown	Stratford (T)	62	--	12	66	140	
P.E.I./Î.-P.-É.	Charlottetown	Cornwall (T)	32	12	7	--	51	
P.E.I./Î.-P.-É.	Charlottetown	Total	242	36	25	93	396	
P.E.I./Î.-P.-É.	Total	Total	242	36	25	93	396	
N.S./N.-É.	Halifax	Halifax (RGM)	936	112	175	877	2,100	
N.S./N.-É.	Halifax	Total	936	112	175	877	2,100	
N.S./N.-É.	Cape Breton	Cape Breton (RGM)	119	62	11	7	199	
N.S./N.-É.	Cape Breton	Total	119	62	11	7	199	
N.S./N.-É.	Total	Total	1,055	174	186	884	2,299	
N.B./N.-B.	Moncton	Elgin (P)	3	--	--	--	3	
N.B./N.-B.	Moncton	Hillsborough (P)	2	--	--	--	2	
