Units Absorbed by Dwelling Type and Census Subdivision for Centres 50,000+								
Logements écoulés selon le type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus								
2018								
								
Province	Centre	"Census Subdivision
Subdivision de recensement"	"Singles
Individuels"	"Semis
Jumelés"	"Row
En bande"	"Apartment
and Other
Appartements
et autres"	Total	
Nfld.Lab./T.-N.-L.	St. John's	Conception Bay South (T)	112	12	4	15	143	
Nfld.Lab./T.-N.-L.	St. John's	Portugal Cove-St. Philip's (T)	36	--	--	1	37	
Nfld.Lab./T.-N.-L.	St. John's	Pouch Cove (T)	7	--	--	1	8	
Nfld.Lab./T.-N.-L.	St. John's	Flatrock (T)	14	--	3	--	17	
Nfld.Lab./T.-N.-L.	St. John's	Torbay (T)	29	--	5	1	35	
Nfld.Lab./T.-N.-L.	St. John's	Logy Bay-Middle Cove-Outer Cove (T)	13	--	--	--	13	
Nfld.Lab./T.-N.-L.	St. John's	Bauline (T)	2	--	--	--	2	
Nfld.Lab./T.-N.-L.	St. John's	Paradise (T)	58	9	34	14	115	
Nfld.Lab./T.-N.-L.	St. John's	St. John's (CY)	176	21	24	38	259	
Nfld.Lab./T.-N.-L.	St. John's	Mount Pearl (CY)	22	24	1	3	50	
Nfld.Lab./T.-N.-L.	St. John's	Petty Harbour-Maddox Cove (T)	1	--	--	--	1	
Nfld.Lab./T.-N.-L.	St. John's	Bay Bulls (T)	5	--	--	--	5	
Nfld.Lab./T.-N.-L.	St. John's	Witless Bay (T)	5	--	--	--	5	
Nfld.Lab./T.-N.-L.	St. John's	Total	480	66	71	73	690	
Nfld.Lab./T.-N.-L.	Total	Total	480	66	71	73	690	
P.E.I./Î.-P.-É.	Charlottetown	Lot 49 (LOT)	6	--	--	--	6	
P.E.I./Î.-P.-É.	Charlottetown	Lot 48 (LOT)	7	--	--	--	7	
P.E.I./Î.-P.-É.	Charlottetown	Lot 31 (LOT)	4	--	--	--	4	
P.E.I./Î.-P.-É.	Charlottetown	Lot 65 (LOT)	15	--	--	--	15	
P.E.I./Î.-P.-É.	Charlottetown	Meadowbank (COM)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Clyde River (COM)	4	--	--	--	4	
P.E.I./Î.-P.-É.	Charlottetown	Miltonvale Park (COM)	5	2	--	--	7	
P.E.I./Î.-P.-É.	Charlottetown	Brackley (COM)	4	--	--	--	4	
P.E.I./Î.-P.-É.	Charlottetown	Lot 33 (LOT)	15	--	--	--	15	
P.E.I./Î.-P.-É.	Charlottetown	Union Road (COM)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Lot 34 (LOT)	27	--	--	--	27	
P.E.I./Î.-P.-É.	Charlottetown	Lot 35 (LOT)	11	--	--	--	11	
P.E.I./Î.-P.-É.	Charlottetown	Lot 36 (LOT)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Lot 37 (LOT)	6	--	--	--	6	
P.E.I./Î.-P.-É.	Charlottetown	Mount Stewart (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Winsloe South (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Warren Grove (COM)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Charlottetown (CY)	39	32	9	82	162	
P.E.I./Î.-P.-É.	Charlottetown	Stratford (T)	58	--	36	60	154	
P.E.I./Î.-P.-É.	Charlottetown	Cornwall (T)	37	20	26	60	143	
P.E.I./Î.-P.-É.	Charlottetown	Total	243	54	71	202	570	
P.E.I./Î.-P.-É.	Total	Total	243	54	71	202	570	
N.S./N.-É.	Halifax	Halifax (RGM)	750	148	69	1,483	2,450	
N.S./N.-É.	Halifax	Total	750	148	69	1,483	2,450	
N.S./N.-É.	Cape Breton	Cape Breton (RGM)	111	74	4	4	193	
N.S./N.-É.	Cape Breton	Total	111	74	4	4	193	
N.S./N.-É.	Total	Total	861	222	73	1,487	2,643	
N.B./N.-B.	Moncton	Hopewell (P)	1	--	--	1	2	
N.B./N.-B.	Moncton	Elgin (P)	1	--	--	--	1	
N.B./N.-B.	Moncton	Hillsborough (VL)	4	--	--	--	4	
N.B./N.-B.	Moncton	Coverdale (P)	17	--	--	--	17	
N.B./N.-B.	Moncton	Riverview (TV)	20	36	--	--	56	
N.B./N.-B.	Moncton	Hillsborough (P)	1	--	--	--	1	
N.B./N.-B.	Moncton	Dorchester (VL)	6	--	--	--	6	
N.B./N.-B.	Moncton	Dorchester (P)	--	--	--	--	--	
N.B./N.-B.	Moncton	Memramcook (VL)	5	--	--	--	5	
N.B./N.-B.	Moncton	Moncton (P)	56	--	--	1	57	
N.B./N.-B.	Moncton	Moncton (C)	70	80	29	259	438	
N.B./N.-B.	Moncton	Salisbury (VL)	5	--	4	--	9	
N.B./N.-B.	Moncton	Dieppe (C)	53	58	8	56	175	
N.B./N.-B.	Moncton	Saint-Paul (P)	--	--	--	--	--	
N.B./N.-B.	Moncton	Total	239	174	41	317	771	
N.B./N.-B.	Saint John	Saint Martins (P)	3	--	--	--	3	
N.B./N.-B.	Saint John	St. Martins (VL)	--	--	--	--	--	
N.B./N.-B.	Saint John	Simonds (P)	3	--	--	--	3	
N.B./N.-B.	Saint John	Saint John (C)	32	8	2	49	91	
N.B./N.-B.	Saint John	Musquash (P)	2	--	--	--	2	
N.B./N.-B.	Saint John	Lepreau (P)	6	--	--	--	6	
N.B./N.-B.	Saint John	Petersville (P)	1	--	--	--	1	
N.B./N.-B.	Saint John	Upham (P)	1	--	--	--	1	
N.B./N.-B.	Saint John	Hampton (TV)	11	--	--	--	11	
N.B./N.-B.	Saint John	Hampton (P)	10	--	--	--	10	
N.B./N.-B.	Saint John	Rothesay (TV)	1	--	--	--	1	
N.B./N.-B.	Saint John	Westfield (P)	3	--	--	--	3	
N.B./N.-B.	Saint John	Kingston (P)	2	--	--	--	2	
N.B./N.-B.	Saint John	Grand Bay-Westfield (TV)	10	--	--	--	10	
N.B./N.-B.	Saint John	Norton (P)	9	--	--	--	9	
N.B./N.-B.	Saint John	Greenwich (P)	1	--	--	--	1	
N.B./N.-B.	Saint John	Rothesay (P)	21	4	--	14	39	
