Units Absorbed by Dwelling Type and Census Subdivision for Centres 50,000+								
Logements écoulés selon le type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus								
2019								
								
Province	Centre	Census Subdivision	Singles	Semis	Row	Apartment and Other	Total	
Nfld.Lab./T.-N.-L.	St. John's	Conception Bay South (T)	104	8	12	1	125	
Nfld.Lab./T.-N.-L.	St. John's	Portugal Cove-St. Philip's (T)	37	--	--	1	38	
Nfld.Lab./T.-N.-L.	St. John's	Pouch Cove (T)	2	--	--	--	2	
Nfld.Lab./T.-N.-L.	St. John's	Flatrock (T)	7	--	--	1	8	
Nfld.Lab./T.-N.-L.	St. John's	Torbay (T)	14	--	2	--	16	
Nfld.Lab./T.-N.-L.	St. John's	Logy Bay-Middle Cove-Outer Cove (T)	10	--	--	1	11	
Nfld.Lab./T.-N.-L.	St. John's	Bauline (T)	--	--	--	--	--	
Nfld.Lab./T.-N.-L.	St. John's	Paradise (T)	77	16	10	12	115	
Nfld.Lab./T.-N.-L.	St. John's	St. John's (CY)	127	19	19	33	198	
Nfld.Lab./T.-N.-L.	St. John's	Mount Pearl (CY)	15	8	28	--	51	
Nfld.Lab./T.-N.-L.	St. John's	Petty Harbour-Maddox Cove (T)	1	--	--	--	1	
Nfld.Lab./T.-N.-L.	St. John's	Bay Bulls (T)	2	--	--	--	2	
Nfld.Lab./T.-N.-L.	St. John's	Witless Bay (T)	8	--	--	--	8	
Nfld.Lab./T.-N.-L.	St. John's	Total	404	51	71	49	575	
Nfld.Lab./T.-N.-L.	Total	Total	404	51	71	49	575	
P.E.I./Î.-P.-É.	Charlottetown	Crossroads (FD)	14	--	--	--	14	
P.E.I./Î.-P.-É.	Charlottetown	Hazelbrook (RM)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Alexandra (RM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Johnstons River (FD)	3	--	--	--	3	
P.E.I./Î.-P.-É.	Charlottetown	North Wiltshire (RM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Hampshire (RM)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Kingston (RM)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	New Haven-Riverdale (RM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Bonshaw (RM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	West River (RM)	5	--	--	--	5	
P.E.I./Î.-P.-É.	Charlottetown	Afton (RM)	15	--	--	--	15	
P.E.I./Î.-P.-É.	Charlottetown	Meadowbank (RM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Darlington (RM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Clyde River (RM)	3	2	--	--	5	
P.E.I./Î.-P.-É.	Charlottetown	Miltonvale Park (RM)	5	2	--	--	7	
P.E.I./Î.-P.-É.	Charlottetown	Pleasant Grove (RM)	9	--	--	--	9	
P.E.I./Î.-P.-É.	Charlottetown	Union Road (RM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Grand Tracadie (RM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Brackley (RM)	7	--	--	--	7	
P.E.I./Î.-P.-É.	Charlottetown	Mount Stewart (RM)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	North Shore (RM)	9	--	--	--	9	
P.E.I./Î.-P.-É.	Charlottetown	York (RM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	East River,  Part 1 (FD)	13	--	--	--	13	
P.E.I./Î.-P.-É.	Charlottetown	Winsloe North (FD)	3	--	--	--	3	
P.E.I./Î.-P.-É.	Charlottetown	Warren Grove (RM)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	North River (FD)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	North Shore (FD)	7	--	--	--	7	
P.E.I./Î.-P.-É.	Charlottetown	Charlottetown (CY)	61	27	31	121	240	
P.E.I./Î.-P.-É.	Charlottetown	Stratford (T)	59	1	33	18	111	
P.E.I./Î.-P.-É.	Charlottetown	Cornwall (T)	29	41	22	18	110	
P.E.I./Î.-P.-É.	Charlottetown	Total	251	73	86	157	567	
P.E.I./Î.-P.-É.	Total	Total	251	73	86	157	567	
N.S./N.-É.	Halifax	Halifax (RGM)	782	110	116	1,646	2,654	
N.S./N.-É.	Halifax	Total	782	110	116	1,646	2,654	
N.S./N.-É.	Cape Breton	Cape Breton (RGM)	109	46	--	4	159	
N.S./N.-É.	Cape Breton	Total	109	46	--	4	159	
N.S./N.-É.	Total	Total	891	156	116	1,650	2,813	
N.B./N.-B.	Moncton	Hopewell (P)	1	--	--	--	1	
N.B./N.-B.	Moncton	Elgin (P)	3	--	--	--	3	
N.B./N.-B.	Moncton	Hillsborough (VL)	3	--	--	--	3	
N.B./N.-B.	Moncton	Coverdale (P)	21	--	--	--	21	
N.B./N.-B.	Moncton	Riverview (TV)	19	18	10	--	47	
N.B./N.-B.	Moncton	Hillsborough (P)	--	2	--	--	2	
N.B./N.-B.	Moncton	Dorchester (VL)	1	2	--	--	3	
N.B./N.-B.	Moncton	Dorchester (P)	--	--	--	--	--	
N.B./N.-B.	Moncton	Memramcook (VL)	9	--	--	--	9	
N.B./N.-B.	Moncton	Moncton (P)	43	--	--	--	43	
N.B./N.-B.	Moncton	Moncton (C)	67	96	24	289	476	
N.B./N.-B.	Moncton	Salisbury (VL)	5	--	--	--	5	
N.B./N.-B.	Moncton	Dieppe (C)	21	46	28	236	331	
N.B./N.-B.	Moncton	Saint-Paul (P)	--	--	--	--	--	
N.B./N.-B.	Moncton	Total	193	164	62	525	944	
N.B./N.-B.	Saint John	Saint Martins (P)	2	--	--	--	2	
N.B./N.-B.	Saint John	St. Martins (VL)	--	--	--	--	--	
N.B./N.-B.	Saint John	Simonds (P)	8	--	--	--	8	
N.B./N.-B.	Saint John	Saint John (C)	27	2	6	31	66	
N.B./N.-B.	Saint John	Musquash (P)	2	--	--	--	2	
N.B./N.-B.	Saint John	Lepreau (P)	2	--	--	--	2	
N.B./N.-B.	Saint John	Petersville (P)	--	--	--	--	--	
N.B./N.-B.	Saint John	Upham (P)	3	--	--	--	3	
N.B./N.-B.	Saint John	Hampton (TV)	15	--	--	--	15	
N.B./N.-B.	Saint John	Hampton (P)	9	1	--	--	10	
N.B./N.-B.	Saint John	Rothesay (TV)	1	--	--	--	1	
N.B./N.-B.	Saint John	Westfield (P)	6	--	--	--	6	
N.B./N.-B.	Saint John	Kingston (P)	17	--	--	--	17	
N.B./N.-B.	Saint John	Grand Bay-Westfield (TV)	4	--	--	--	4	
N.B./N.-B.	Saint John	Norton (P)	2	--	--	--	2	
N.B./N.-B.	Saint John	Greenwich (P)	4	--	--	--	4	
N.B./N.-B.	Saint John	Rothesay (P)	16	--	--	36	52	
N.B./N.-B.	Saint John	Quispamsis (TV)	51	4	--	1	56	
N.B./N.-B.	Saint John	Total	169	7	6	68	250	
N.B./N.-B.	Fredericton	Gladstone (P)	5	--	--	--	5	
N.B./N.-B.	Fredericton	Tracy (VL)	--	--	--	--	--	
N.B./N.-B.	Fredericton	Lincoln (P)	29	--	--	--	29	
N.B./N.-B.	Fredericton	Maugerville (P)	7	--	--	--	7	
N.B./N.-B.	Fredericton	New Maryland (VL)	15	--	--	--	15	
N.B./N.-B.	Fredericton	New Maryland (P)	13	--	--	1	14	
N.B./N.-B.	Fredericton	Manners Sutton (P)	3	--	--	--	3	
N.B./N.-B.	Fredericton	Harvey (VL)	--	--	--	--	--	
N.B./N.-B.	Fredericton	Hanwell (RCR)	1	--	--	--	1	
N.B./N.-B.	Fredericton	Kingsclear (P)	16	--	--	--	16	
N.B./N.-B.	Fredericton	Queensbury (P)	2	--	--	--	2	
N.B./N.-B.	Fredericton	Bright (P)	9	--	--	--	9	
N.B./N.-B.	Fredericton	Douglas (P)	17	--	--	--	17	
N.B./N.-B.	Fredericton	Saint Marys (P)	18	2	--	--	20	
N.B./N.-B.	Fredericton	Fredericton (C)	68	15	63	144	290	
N.B./N.-B.	Fredericton	Total	203	17	63	145	428	
